word,score_adj_mean_over_df,mean_tfidf,doc_freq,doc_freq_pct
good,0.2534464914508139,0.05012542926270073,156,0.9873417721518988
price,0.1898525973672599,0.040011657117790846,114,0.7215189873417721
use,0.1773743593477581,0.03904090926258038,93,0.5886075949367089
quality,0.13366933561191663,0.02908941223981383,98,0.620253164556962
nice,0.1218021009700753,0.026280307064211108,102,0.6455696202531646
charging,0.11657532499725168,0.0311893069486415,41,0.25949367088607594
cable,0.10608165749685429,0.02838176412862711,41,0.25949367088607594
easy,0.10455841808209523,0.026462153572150118,51,0.3227848101265823
like,0.09870740773640008,0.023393109962879043,67,0.4240506329113924
working,0.09769831487788336,0.023672191347075783,61,0.3860759493670886
value,0.09521582997584753,0.022565625335639376,67,0.4240506329113924
money,0.09079508163988277,0.020902198147065412,76,0.4810126582278481
phone,0.08693468959150702,0.024075509799624875,36,0.22784810126582278
fine,0.08396255130057007,0.021462693645734554,49,0.310126582278481
works,0.07909990763875799,0.02021969388446912,49,0.310126582278481
best,0.07821802023069879,0.01860255369678566,66,0.4177215189873418
battery,0.07617825599201958,0.02109664573799057,36,0.22784810126582278
great,0.07360251941307235,0.017904348769862747,60,0.379746835443038
amazon,0.07323661289411355,0.02076832824745996,33,0.2088607594936709
overall,0.07323634327534602,0.018626549119016053,50,0.31645569620253167
